what,kind,bundleId,bundleVersion,description,time
started,bundle,org.eclipse.ui.net,1.2.100.v20111208-1155,"org.eclipse.ui.net",1531097488938
started,bundle,org.eclipse.ui.views,3.6.0.v20110928-1505,"org.eclipse.ui.views",1531097488938
started,bundle,org.eclipse.ui.views.log,1.0.200.v20110404,"org.eclipse.ui.views.log",1531097488939
started,bundle,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"org.eclipse.ui.workbench",1531097488940
started,bundle,org.eclipse.ui.workbench.texteditor,3.7.0.v20110928-1504,"org.eclipse.ui.workbench.texteditor",1531097488941
started,bundle,org.eclipse.update.configurator,3.3.100.v20100512,"org.eclipse.update.configurator",1531097488941
started,bundle,org.eclipse.update.core,3.2.500.v20110330,"org.eclipse.update.core",1531097488943
started,bundle,org.eclipse.update.scheduler,3.2.300.v20100512,"org.eclipse.update.scheduler",1531097488944
started,bundle,org.eclipse.wst.common.project.facet.core,1.4.201.v201201101553,"org.eclipse.wst.common.project.facet.core",1531097488944
started,bundle,org.eclipse.wst.web,1.1.501.v201201190400,"org.eclipse.wst.web",1531097488945
started,bundle,pm.eclipse.editbox,0.70.0.201508180438,"pm.eclipse.editbox",1531097488946
started,bundle,com.android.ide.eclipse.adt,23.0.7.2120684,"com.android.ide.eclipse.adt",1531097488947
started,bundle,com.android.ide.eclipse.base,23.0.7.2120684,"com.android.ide.eclipse.base",1531097488947
started,bundle,org.eclipse.cdt.codan.checkers,1.0.1.201202111925,"org.eclipse.cdt.codan.checkers",1531097488948
started,bundle,org.eclipse.cdt.codan.core,2.0.0.201202111925,"org.eclipse.cdt.codan.core",1531097488948
started,bundle,org.eclipse.cdt.codan.core.cxx,1.0.0.201202111925,"org.eclipse.cdt.codan.core.cxx",1531097488949
started,bundle,org.eclipse.cdt.codan.ui.cxx,2.0.0.201202111925,"org.eclipse.cdt.codan.ui.cxx",1531097488950
started,bundle,org.eclipse.cdt.core,5.3.2.201202111925,"org.eclipse.cdt.core",1531097488951
started,bundle,org.eclipse.cdt.make.core,7.1.2.201202111925,"org.eclipse.cdt.make.core",1531097488952
started,bundle,org.eclipse.cdt.make.ui,7.1.2.201202111925,"org.eclipse.cdt.make.ui",1531097488956
started,bundle,org.eclipse.cdt.managedbuilder.core,8.0.2.201202111925,"org.eclipse.cdt.managedbuilder.core",1531097488958
started,bundle,org.eclipse.cdt.ui,5.3.2.201202111925,"org.eclipse.cdt.ui",1531097488959
os,sysinfo,,,"win32",1531097488962
arch,sysinfo,,,"x86_64",1531097488962
ws,sysinfo,,,"win32",1531097488962
locale,sysinfo,,,"zh_CN",1531097488962
processors,sysinfo,,,"4",1531097488962
java.runtime.name,sysinfo,,,"Java(TM) SE Runtime Environment",1531097488962
java.runtime.version,sysinfo,,,"1.8.0_171-b11",1531097488962
java.specification.name,sysinfo,,,"Java Platform API Specification",1531097488962
java.specification.vendor,sysinfo,,,"Oracle Corporation",1531097488962
java.specification.version,sysinfo,,,"1.8",1531097488962
java.vendor,sysinfo,,,"Oracle Corporation",1531097488962
java.version,sysinfo,,,"1.8.0_171",1531097488962
java.vm.info,sysinfo,,,"mixed mode",1531097488962
java.vm.name,sysinfo,,,"Java HotSpot(TM) 64-Bit Server VM",1531097488962
java.vm.specification.name,sysinfo,,,"Java Virtual Machine Specification",1531097488962
java.vm.specification.vendor,sysinfo,,,"Oracle Corporation",1531097488962
java.vm.specification.version,sysinfo,,,"1.8",1531097488962
java.vm.vendor,sysinfo,,,"Oracle Corporation",1531097488962
java.vm.version,sysinfo,,,"25.171-b11",1531097488962
started,bundle,org.eclipse.jst.common.project.facet.core,1.4.200.v201103170302,"org.eclipse.jst.common.project.facet.core",1531097489041
started,bundle,org.eclipse.jst.ws.jaxrs.core,1.0.301.v201108240656,"org.eclipse.jst.ws.jaxrs.core",1531097489044
started,bundle,org.eclipse.jpt.common.core,1.0.2.v201111103010,"org.eclipse.jpt.common.core",1531097489057
started,bundle,org.eclipse.jpt.jpa.core,3.0.2.v201201243020,"org.eclipse.jpt.jpa.core",1531097489058
started,bundle,org.eclipse.wst.sse.core,1.1.602.v201112071516,"org.eclipse.wst.sse.core",1531097489089
opened,view,org.eclipse.ui.ide,3.7.0.v20110928-1505,"org.eclipse.ui.views.ProblemView",1531097490967
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1531097491853
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1531097638593
activated,view,org.eclipse.search,3.7.0.v20110928-1504,"org.eclipse.search.ui.views.SearchView",1531097723562
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1531097726112
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1531098854862
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1531098855394
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1531098926609
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1531098941518
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1531099013882
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1531099020505
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1531099023246
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1531099030295
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1531099031343
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1531099595778
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1531099596711
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1531099628070
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1531099631276
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1531101294809
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1531101400515
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1531101426760
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1531101432448
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1531101438829
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1531101440688
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1531101936033
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1531101936433
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1531102387765
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1531102389011
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1531102427581
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1531102698260
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1531102818186
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1531102913103
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1531102937590
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1531102940830
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1531102968511
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1531103420668
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1531103435290
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1531103765086
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1531103829889
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1531104319616
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1531104376663
started,bundle,org.eclipse.jdt.junit,3.7.0.v20110928-1453,"org.eclipse.jdt.junit",1531104379427
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1531104402670
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1531104427605
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1531104449729
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1531104457255
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1531104458963
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1531108350013
